product_id,product_name,category_id,price,cost
11,Смартфон,1,16165.96,6587.68
12,Планшет,1,7238.22,3379.98
13,Наушники,1,18543.54,11181.94
14,Зарядное устройство,1,22358.4,9526.5
15,Чехол,1,10837.08,4431.71
16,Портативная колонка,1,5856.63,3230.56
17,Внешний аккумулятор,1,1150.13,528.66
18,Кабель USB,1,16422.17,9253.6
19,Умные часы,1,5900.8,3403.46
20,Пауэрбанк,1,20331.05,8172.06
21,Футболка,2,20242.57,12336.67
22,Джинсы,2,8836.14,3946.61
23,Куртка,2,23951.72,11999.29
24,Платье,2,2772.27,1189.35
25,Свитер,2,21263.61,12356.66
26,Рубашка,2,20274.64,12548.37
27,Шорты,2,13637.59,9436.32
28,Пальто,2,9774.09,5528.34
29,Худи,2,20820.41,12191.51
30,Носки,2,21611.82,12388.02
31,Роман,3,17762.01,7348.98
32,Детектив,3,6083.51,2961.55
33,Учебник,3,2454.9,1153.4
34,Энциклопедия,3,2974.54,1437.87
35,Комикс,3,16074.27,8189.03
36,Сборник стихов,3,9569.43,4429.23
37,Справочник,3,7040.96,4794.87
38,Кулинарная книга,3,16376.87,9543.45
39,Атлас,3,4692.9,2903.68
40,Журнал,3,4503.36,2313.99
41,Лампа,4,24743.32,14648.04
42,Ваза,4,14145.27,8563.32
43,Постельное бельё,4,21149.87,13383.64
44,Шторы,4,6111.68,2503.53
45,Коврик,4,8228.6,3952.38
46,Подушка,4,5669.08,3871.26
47,Плед,4,21971.01,10862.54
48,Полка,4,16558.25,8588.59
49,Горшок для цветов,4,22906.42,12315.76
50,Набор полотенец,4,6989.56,3312.97
51,Гантели,5,14253.52,6824.91
52,Йога-мат,5,14822.36,9921.3
53,Велотренажёр,5,10285.31,4790.86
54,Мяч,5,24939.67,13788.09
55,Скакалка,5,2727.28,1129.46
56,Эспандер,5,3186.4,1874.35
57,Коврик для фитнеса,5,19905.94,10483.42
58,Бутылка для воды,5,2056.43,1058.0
59,Перчатки,5,24904.97,13915.26
60,Шлем,5,24291.42,15989.44
61,Крем,6,781.29,481.44
62,Шампунь,6,17201.9,9651.83
63,Гель для душа,6,7037.22,4168.06
64,Тональный крем,6,3233.03,1714.89
65,Помада,6,11616.23,7970.42
66,Лак для ногтей,6,21958.4,10518.44
67,Маска для лица,6,12764.36,5789.86
68,Парфюм,6,22859.38,15113.61
69,Лосьон,6,7811.9,4622.18
70,Скраб,6,15419.77,6874.93
71,Автомагнитола,7,19181.51,10776.44
72,Видеорегистратор,7,19576.35,10945.26
73,Держатель телефона,7,514.01,255.59
74,Аптечка,7,977.18,663.24
75,Огнетушитель,7,22028.69,14307.63
76,Набор ключей,7,8034.1,3353.25
77,Домкрат,7,22011.24,15057.56
78,Компрессор,7,2598.51,1418.26
79,Щётки дворников,7,2195.71,1379.3
80,Антенна,7,19262.94,8447.14
81,Конструктор,8,12144.42,6860.88
82,Машинка,8,6993.89,4628.07
83,Кукла,8,10866.88,5037.23
84,Пазл,8,13712.75,8487.91
85,Настольная игра,8,5428.2,2678.9
86,Мяч детский,8,24881.16,14803.38
87,Робот,8,11233.45,6237.63
88,Мягкая игрушка,8,3464.6,1619.39
89,Набор для творчества,8,8783.1,5063.39
90,Деревянный куб,8,6137.81,2860.62
91,Кофе,9,2239.33,1319.71
92,Чай,9,6109.07,4103.01
93,Мёд,9,21561.07,9082.76
94,Орехи,9,6331.11,3803.06
95,Шоколад,9,5748.8,2527.71
96,Сухофрукты,9,23420.1,13380.21
97,Специи,9,12080.44,7675.74
98,Масло,9,20283.68,9272.14
99,Сахар,9,2874.8,1521.68
100,Мука,9,10877.68,5875.12
101,Отвёртка,10,18362.36,11054.31
102,Молоток,10,24612.05,10571.5
103,Дрель,10,10364.22,5200.67
104,Ножовка,10,21610.98,10256.5
105,Уровень,10,5160.12,2758.52
106,Изолента,10,10836.1,5239.94
107,Болт,10,6620.26,4481.78
108,Гайка,10,11356.7,7477.31
109,Шуруп,10,13982.97,5805.4
110,Гвоздь,10,24982.42,16258.77
